game_result,RS,RA,PA,AB,H,second_base,third_base,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batters_number,LOB,IP,Hits_allow,Runs_allow,ER,UER,BB_allow,SO_pitch,HR_allow,HBP_pitch,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB_allow,CS_pitch,AB_pitch,allow_2B,allow_3B,IBB_allow,SH_allow,SF_allow,ROE_allow,GIDP_allow,pitchers_number,game_location,rank
1,5,1,40,35,9,2,0,0,5,4,1,8,0,1,0,0,0,0,0,0.262,0.331,0.448,0.779,14,8,9.0,9,1,1,0,5,10,0,0,3.43,41,161,94,4.0,0.0,0,0,35,1,0,0,0,1,0,0,5,0,2
1,5,4,44,40,13,1,0,3,5,3,0,7,0,1,0,0,1,1,1,0.263,0.332,0.451,0.782,15,9,10.0,11,4,4,0,6,15,2,0,3.43,44,196,118,4.0,1.0,0,0,38,1,0,0,0,0,0,2,5,0,2
0,3,4,37,30,6,0,0,2,3,3,0,6,2,1,1,0,0,0,1,0.263,0.331,0.45,0.781,12,7,8.0,10,4,4,0,0,8,1,0,3.44,33,108,79,1.0,0.0,0,0,33,0,1,0,0,0,0,1,2,0,3
1,16,5,51,46,20,6,0,1,15,4,1,7,1,0,0,0,1,0,0,0.266,0.334,0.453,0.787,14,8,9.0,8,5,4,1,4,11,1,0,3.45,39,141,92,0.0,0.0,0,0,35,3,1,1,0,0,1,1,3,0,3
1,10,3,42,37,11,0,0,2,10,4,0,10,0,1,0,0,0,0,0,0.266,0.335,0.453,0.788,12,5,9.0,7,3,3,0,1,10,1,0,3.45,34,137,92,2.0,1.0,0,0,33,1,0,0,0,0,0,1,4,0,2
0,1,6,34,32,6,2,1,0,1,2,0,11,0,0,0,0,0,1,0,0.265,0.333,0.452,0.785,13,6,9.0,12,6,3,3,1,7,2,0,3.44,41,153,100,1.0,0.0,0,0,39,2,1,0,0,1,1,0,4,1,2
1,9,2,41,36,12,4,0,1,9,3,0,2,1,1,0,1,0,0,0,0.266,0.334,0.453,0.787,14,8,9.0,6,2,2,0,4,7,1,1,3.42,37,141,85,3.0,0.0,0,2,32,0,0,1,0,0,1,0,4,1,2
1,2,1,41,38,7,3,0,0,2,3,1,13,0,0,0,0,0,0,0,0.265,0.333,0.45,0.783,18,7,11.0,9,1,1,0,3,8,0,0,3.38,42,168,101,2.0,1.0,0,0,39,1,1,0,0,0,0,2,7,1,2
1,6,1,39,33,10,1,0,1,6,6,0,11,0,0,0,0,1,2,0,0.265,0.334,0.45,0.784,13,9,9.0,5,1,1,0,4,10,0,0,3.35,36,159,98,0.0,0.0,0,0,32,0,0,0,0,0,0,0,4,1,2
1,6,5,45,36,10,2,0,1,6,5,0,12,2,1,1,0,0,0,0,0.266,0.335,0.449,0.784,18,11,10.0,6,5,3,2,5,4,0,0,3.34,43,150,96,2.0,0.0,3,0,34,0,0,2,2,2,2,0,5,1,2
